"Winner","B_current_win_streak","R_Reach_cms","R_losses","B_current_lose_streak","R_Stance_Southpaw","B_Stance_Southpaw","R_Stance_Switch","R_win_by_Submission","B_win_by_Decision_Split","B_Stance_Switch","R_Stance_Open_Stance"
"Red",0,180.34,1,1,0,1,0,0,1,0,0
"Blue",0,187.96,0,1,1,1,0,0,0,0,0
"Blue",2,195.58,3,0,1,0,0,3,2,0,0
"Red",0,193.04,3,1,0,0,0,1,1,0,0
"Red",1,185.42,0,0,1,1,0,0,0,0,0
"Blue",0,172.72,5,3,0,0,0,0,1,0,0
"Red",0,190.5,2,1,1,0,0,0,1,0,0
"Red",0,177.8,0,1,1,0,0,1,0,0,0
"Red",0,187.96,2,0,1,0,0,0,0,0,0
"Red",0,182.88,1,0,0,0,0,0,0,0,0
"Red",3,185.42,4,0,0,0,0,4,0,0,0
"Red",1,195.58,1,0,1,0,0,1,0,0,0
"Red",0,165.1,0,0,0,0,0,0,0,0,0
"Red",2,167.64,3,0,0,0,0,2,0,0,0
"Red",1,193.04,7,0,0,1,0,1,0,0,0
"Red",1,185.42,3,0,0,0,0,2,0,0,0
"Blue",1,182.88,1,0,0,0,0,0,1,0,0
"Blue",0,185.42,3,1,0,0,0,1,0,1,0
"Red",0,193.04,1,0,0,0,0,0,0,0,0
"Blue",0,180.34,1,1,0,1,0,0,0,0,0
"Blue",0,172.72,1,1,0,0,0,1,0,0,0
"Red",0,170.18,2,0,0,0,0,0,0,0,0
"Blue",0,193.04,2,1,0,0,0,0,0,0,0
"Blue",5,175.26,3,0,1,0,0,0,0,0,0
"Red",3,182.88,8,0,0,0,0,0,0,0,0
"Red",0,203.2,2,2,1,0,0,1,0,0,0
"Red",0,165.1,2,1,1,1,0,1,0,0,0
"Red",0,195.58,0,0,0,0,0,0,0,0,0
"Red",0,182.88,8,2,0,0,0,1,0,0,0
"Red",0,200.66,2,0,0,0,0,0,0,0,0
"Blue",1,160.02,1,0,0,1,0,2,0,0,0
"Blue",1,175.26,1,0,0,0,0,0,0,0,0
"Red",0,187.96,0,0,0,0,1,0,0,0,0
"Blue",0,165.1,1,2,1,1,0,0,0,0,0
"Red",5,198.12,5,0,0,0,0,0,1,0,0
"Blue",3,198.12,2,0,0,0,0,1,0,0,0
"Blue",2,180.34,4,0,1,0,0,0,1,0,0
"Blue",0,180.34,0,1,0,1,0,1,0,0,0
"Red",0,177.8,1,1,0,0,1,0,1,0,0
"Blue",0,177.8,1,2,1,0,0,2,0,0,0
"Red",0,193.04,5,1,0,1,0,1,0,0,0
"Blue",0,165.1,2,1,0,1,0,0,0,0,0
"Blue",1,185.42,1,0,0,1,0,0,0,0,0
"Red",0,185.42,7,1,1,0,0,2,1,0,0
"Blue",0,193.04,2,0,0,0,0,0,0,0,0
"Red",0,185.42,3,0,0,0,0,1,0,0,0
"Blue",3,170.18,2,0,0,0,0,1,0,0,0
"Blue",1,182.88,2,0,0,0,0,2,1,0,0
"Red",0,200.66,4,1,0,0,0,1,0,1,0
"Blue",4,175.26,7,0,0,1,0,0,1,0,0
"Red",3,180.34,9,0,0,0,0,0,1,0,0
"Blue",0,187.96,8,1,0,0,0,0,1,0,0
"Red",0,177.8,0,0,0,0,0,1,0,0,0
"Blue",0,180.34,3,0,0,1,0,0,0,0,0
"Red",0,177.8,2,3,0,0,0,0,1,1,0
"Red",2,185.42,2,0,0,0,0,1,0,0,0
"Red",0,175.26,2,0,0,0,1,1,0,0,0
"Red",0,180.34,0,0,0,0,0,0,0,0,0
"Red",0,190.5,1,0,0,0,0,0,0,0,0
"Red",1,187.96,4,0,1,0,0,0,1,0,0
"Red",7,203.2,2,0,0,0,0,0,1,0,0
"Blue",4,182.88,4,0,0,0,0,0,0,0,0
"Blue",1,172.72,3,0,0,0,0,2,0,1,0
"Red",0,177.8,3,1,0,1,0,0,0,0,0
"Red",0,177.8,2,1,0,0,0,1,0,0,0
"Blue",0,193.04,3,0,1,0,0,2,0,0,0
"Red",0,162.56,0,1,0,0,0,0,0,0,0
"Blue",0,175.26,0,2,0,1,0,1,0,0,0
"Red",2,182.88,3,0,1,0,0,3,0,0,0
"Blue",0,165.1,2,1,0,0,0,0,0,0,0
"Red",0,180.34,2,3,1,0,0,0,0,0,0
"Red",8,177.8,5,0,1,0,0,2,0,0,0
"Blue",2,195.58,2,0,0,0,0,0,0,0,0
"Blue",0,185.42,5,1,1,1,0,0,1,0,0
"Blue",0,160.02,1,0,0,0,0,0,0,0,0
"Red",0,187.96,6,1,0,0,0,7,1,0,0
"Blue",0,193.04,7,2,0,0,0,2,0,0,0
"Blue",0,170.18,2,0,0,1,0,0,0,0,0
"Blue",0,200.66,0,1,0,0,0,1,0,1,0
"Red",0,172.72,6,3,0,0,0,1,1,0,0
"Red",2,193.04,0,0,0,1,1,1,0,0,0
"Red",0,210.82,0,0,0,0,0,0,0,0,0
"Blue",6,177.8,0,0,0,1,0,0,0,0,0
"Blue",4,198.12,0,0,0,1,0,2,0,0,0
"Blue",6,182.88,0,0,0,1,0,3,0,0,0
"Red",1,182.88,6,0,1,0,0,7,0,1,0
"Red",1,175.26,3,0,0,0,0,2,1,0,0
"Red",3,170.18,4,0,0,0,0,6,1,0,0
"Red",0,152.4,0,0,0,0,0,0,0,0,0
"Red",3,182.88,0,0,0,0,0,2,0,0,0
"Red",4,190.5,1,0,0,0,0,2,1,0,0
"Blue",1,182.88,2,0,0,0,0,1,0,0,0
"Blue",0,172.72,4,1,0,0,0,0,0,0,0
"Red",0,190.5,3,2,0,1,0,2,0,0,0
"Red",0,172.72,5,1,0,0,0,2,0,0,0
"Blue",6,190.5,3,0,0,0,0,0,1,0,0
"Blue",2,180.34,7,0,0,1,0,7,3,0,0
"Red",0,175.26,1,0,0,0,0,1,0,0,0
"Red",0,193.04,9,1,0,0,0,4,0,0,0
"Red",0,187.96,1,1,1,0,0,0,1,0,0
"Blue",0,172.72,1,1,0,0,0,0,0,0,0
"Red",3,165.1,1,0,0,0,0,1,0,0,0
"Blue",1,180.34,6,0,1,1,0,6,0,0,0
"Red",1,180.34,0,0,0,0,0,0,0,0,0
"Blue",2,190.5,0,0,0,0,0,0,0,0,0
"Red",1,190.5,4,0,0,0,0,1,4,0,0
"Blue",3,185.42,1,0,0,0,0,0,0,0,0
"Red",2,180.34,0,0,0,0,0,1,0,0,0
"Red",0,185.42,2,1,0,0,0,0,0,0,0
"Red",0,187.96,0,0,1,1,0,0,0,0,0
"Red",1,172.72,0,0,0,0,0,0,1,0,0
"Red",1,177.8,3,0,1,0,0,2,0,0,0
"Red",0,193.04,4,1,1,0,0,1,0,0,0
"Blue",1,185.42,4,0,0,0,0,0,0,0,0
"Red",2,177.8,0,0,0,0,0,0,0,0,0
"Red",1,180.34,3,0,1,0,0,0,1,0,0
"Blue",0,175.26,1,1,0,0,0,0,0,0,0
"Red",0,180.34,2,1,0,0,1,0,0,0,0
"Red",0,157.48,1,1,1,0,0,0,0,0,0
"Blue",1,162.56,1,0,0,0,0,0,0,0,0
"Blue",1,162.56,0,0,1,0,0,0,0,0,0
"Red",0,187.96,1,0,0,0,0,0,0,0,0
"Red",1,203.2,3,0,0,1,0,1,2,0,0
"Red",1,180.34,2,0,0,1,0,2,3,0,0
"Blue",3,170.18,2,0,0,0,0,1,0,0,0
"Blue",1,177.8,5,0,0,0,0,1,0,0,0
"Red",2,172.72,2,0,0,1,0,1,0,0,0
"Blue",1,185.42,0,0,0,0,0,1,0,0,0
"Red",0,170.18,1,2,0,0,0,0,0,0,0
"Blue",0,180.34,0,1,1,0,0,1,0,0,0
"Blue",0,185.42,1,1,0,0,0,0,1,0,0
"Blue",2,172.72,0,0,0,1,0,3,1,0,0
"Red",3,165.1,0,0,0,0,0,0,1,0,0
"Red",1,182.88,5,0,0,0,0,0,0,0,0
"Blue",3,200.66,3,0,0,0,0,0,0,0,0
"Blue",2,213.36,5,0,0,0,0,4,0,0,0
"Red",0,185.42,1,1,0,1,0,2,0,0,0
"Red",2,193.04,3,0,1,1,0,2,0,0,0
"Blue",0,190.5,6,1,0,0,0,3,1,0,0
"Blue",0,175.26,2,3,0,0,0,0,0,0,0
"Red",0,177.8,1,1,1,1,0,1,0,0,0
"Red",0,180.34,2,0,0,0,1,1,0,0,0
"Red",1,165.1,0,0,0,0,1,0,0,0,0
"Red",1,187.96,7,0,1,0,0,2,2,0,0
"Red",1,193.04,2,0,0,0,0,3,0,0,0
"Red",1,177.8,0,0,1,0,0,0,0,0,0
"Red",0,193.04,1,2,0,0,0,1,0,0,0
"Blue",3,180.34,0,0,0,0,0,2,0,0,0
"Blue",1,190.5,5,0,0,0,0,0,0,0,0
"Blue",0,180.34,9,1,1,0,0,4,0,0,0
"Blue",3,185.42,1,0,0,0,0,1,0,0,0
"Blue",0,177.8,9,1,0,0,0,4,0,0,0
"Blue",3,187.96,0,0,0,0,0,0,0,0,0
"Red",0,190.5,1,1,0,0,0,0,0,0,0
"Blue",1,165.1,2,0,0,0,0,0,0,0,0
"Blue",2,175.26,1,0,0,0,0,1,0,0,0
"Red",1,162.56,2,0,0,0,0,0,0,0,0
"Red",1,177.8,0,0,1,0,0,0,0,0,0
"Blue",1,190.5,1,0,1,1,0,0,0,0,0
"Blue",1,190.5,1,0,0,1,0,1,0,0,0
"Red",2,180.34,4,0,0,1,0,0,0,0,0
"Blue",0,185.42,1,1,0,1,0,0,0,0,0
"Red",0,182.88,1,1,0,0,0,2,0,0,0
"Red",2,187.96,4,0,0,0,0,1,4,0,0
"Blue",2,190.5,3,0,1,0,0,0,0,0,0
"Red",0,165.1,2,1,1,0,0,1,0,0,0
"Blue",3,185.42,1,0,1,0,0,0,0,0,0
"Red",1,182.88,1,0,1,0,0,1,0,0,0
"Red",0,165.1,1,1,0,0,0,0,0,0,0
"Blue",0,177.8,1,0,0,0,0,0,0,0,0
"Blue",0,160.02,5,1,1,0,0,0,0,0,0
"Red",1,200.66,2,0,0,0,0,0,0,0,0
"Red",0,198.12,2,2,0,0,0,1,0,0,0
"Blue",1,193.04,2,0,0,0,0,1,0,0,0
"Red",0,167.64,1,1,0,0,0,0,1,0,0
"Red",0,172.72,4,1,0,0,0,0,1,0,0
"Blue",1,167.64,2,0,0,0,0,1,0,0,0
"Red",1,185.42,3,0,1,0,0,0,1,0,0
"Red",0,167.64,1,0,1,1,0,0,0,0,0
"Blue",1,167.64,4,0,1,0,0,0,0,0,0
"Red",0,177.8,1,0,0,1,0,0,0,0,0
"Red",3,167.64,2,0,0,0,0,3,0,0,0
"Red",2,195.58,4,0,0,1,0,2,0,0,0
"Red",1,198.12,5,0,0,0,0,0,0,0,0
"Blue",0,198.12,1,1,0,0,0,0,0,0,0
"Red",0,175.26,7,1,0,0,0,0,1,0,0
"Blue",2,172.72,4,0,0,0,0,0,0,0,0
"Blue",0,157.48,2,1,0,0,0,1,0,0,0
"Blue",0,185.42,2,1,0,0,0,0,0,0,0
"Red",1,177.8,6,0,1,1,0,1,0,0,0
"Red",4,175.26,3,0,0,0,0,2,0,0,0
"Red",2,203.2,3,0,0,0,0,1,0,0,0
"Red",0,180.34,9,5,0,0,0,0,1,0,0
"Blue",3,180.34,0,0,0,1,0,0,1,0,0
"Red",1,177.8,1,0,1,1,0,2,0,0,0
"Blue",2,170.18,0,0,0,0,0,1,1,0,0
"Blue",0,177.8,10,1,0,0,0,0,0,0,0
"Blue",0,172.72,4,1,0,0,0,0,0,0,0
"Blue",2,190.5,0,0,0,0,0,0,0,0,0
"Red",0,172.72,1,1,0,0,0,0,0,0,0
"Red",0,180.34,1,1,0,0,0,0,0,0,0
"Red",0,195.58,0,0,0,0,0,0,0,0,0
"Red",2,193.04,2,0,0,1,0,2,0,0,0
"Blue",4,185.42,4,0,1,1,0,0,0,0,0
"Red",3,195.58,1,0,1,1,0,1,0,0,0
"Red",1,190.5,1,0,0,1,0,0,0,0,0
"Blue",1,167.64,2,0,0,0,0,0,0,0,0
"Red",0,160.02,1,0,0,0,0,2,0,0,0
"Red",0,200.66,3,0,0,0,0,0,0,1,0
"Red",0,193.04,7,1,0,0,0,1,0,0,0
"Red",1,165.1,2,0,0,0,0,0,0,0,0
"Red",1,167.64,0,0,0,0,0,0,0,0,0
"Blue",0,182.88,1,0,0,1,0,0,0,0,0
"Red",0,177.8,1,2,0,0,1,0,0,0,0
"Blue",0,182.88,1,0,0,0,0,0,0,0,0
"Red",3,172.72,0,0,0,0,0,3,1,0,0
"Red",0,193.04,8,1,0,1,0,0,1,0,0
"Red",0,213.36,5,2,0,0,0,4,0,0,0
"Red",1,203.2,5,0,0,0,0,0,0,0,0
"Red",0,160.02,1,0,0,0,0,0,0,0,0
"Red",7,182.88,6,0,1,0,0,6,0,0,0
"Blue",0,185.42,2,1,0,0,0,0,0,0,0
"Red",3,182.88,0,0,0,0,0,1,1,0,0
"Red",2,180.34,4,0,1,0,0,0,0,0,0
"Red",0,195.58,1,1,0,0,0,0,1,0,0
"Blue",0,170.18,2,1,0,1,0,0,0,0,0
"Red",1,170.18,2,0,0,0,0,1,0,0,0
"Red",1,165.1,2,0,0,0,0,0,0,0,0
"Red",2,190.5,3,0,0,0,0,0,1,0,0
"Red",0,180.34,7,1,0,1,0,7,1,0,0
"Blue",1,193.04,2,0,0,1,0,0,0,0,0
"Red",0,180.34,6,2,1,0,0,6,1,0,0
"Blue",2,187.96,3,0,0,0,0,2,0,0,0
"Blue",0,175.26,4,1,0,0,0,0,0,0,0
"Blue",0,182.88,5,2,0,0,1,0,0,0,0
"Blue",0,190.5,4,0,0,1,0,0,0,0,0
"Red",0,190.5,1,0,1,0,0,1,0,0,0
"Red",5,190.5,7,0,0,0,0,0,1,0,0
"Blue",1,175.26,6,0,0,1,0,0,3,0,0
"Red",1,185.42,0,0,0,0,0,0,0,0,0
"Red",0,165.1,1,0,0,0,0,0,0,0,0
"Red",1,187.96,1,0,1,0,0,0,0,0,0
"Red",1,177.8,0,0,1,0,0,0,0,0,0
"Red",0,175.26,1,1,0,0,0,1,0,0,0
"Red",0,185.42,2,1,0,0,0,1,1,0,0
"Red",0,185.42,1,0,0,0,0,0,0,0,0
"Red",0,175.26,1,1,1,0,0,0,0,0,0
"Blue",0,180.34,3,0,1,0,0,0,0,0,0
"Red",0,187.96,2,0,1,0,0,0,0,0,0
"Red",2,200.66,9,0,1,0,0,8,0,0,0
"Blue",5,180.34,3,0,0,0,0,0,1,0,0
"Red",2,175.26,0,0,1,0,0,0,0,0,0
"Blue",1,167.64,6,0,0,0,0,1,0,0,0
"Red",1,195.58,1,0,0,0,0,0,0,1,0
"Red",1,185.42,1,0,1,0,0,0,0,0,0
"Red",1,170.18,4,0,0,0,0,0,0,0,0
"Red",1,170.18,3,0,0,0,0,2,0,0,0
"Blue",0,195.58,1,1,0,0,0,0,1,0,0
"Red",1,195.58,2,0,1,0,0,0,2,0,0
"Blue",0,193.04,3,0,0,0,0,0,0,0,0
"Blue",4,180.34,5,0,0,0,0,1,0,0,0
"Red",0,187.96,2,1,0,1,0,1,1,0,0
"Red",1,180.34,3,0,0,0,0,0,0,0,0
"Red",4,200.66,0,0,0,0,0,0,0,0,0
"Blue",0,177.8,1,2,0,0,0,1,0,0,0
"Blue",0,187.96,6,1,0,0,0,4,1,0,0
"Red",0,185.42,1,0,0,0,0,0,0,0,0
"Blue",0,170.18,2,1,1,0,0,0,0,0,0
"Blue",5,167.64,2,0,0,1,0,0,0,0,0
"Red",3,187.96,4,0,1,0,0,0,0,0,0
"Blue",0,167.64,2,2,0,0,0,2,1,0,0
"Red",0,182.88,1,1,0,0,1,3,0,1,0
"Blue",2,172.72,5,0,0,1,0,1,0,0,0
"Red",4,190.5,7,0,0,0,0,1,1,0,0
"Blue",0,195.58,4,1,0,0,0,2,1,0,0
"Blue",0,190.5,0,3,0,0,0,1,3,0,0
"Blue",1,162.56,1,0,0,0,0,0,0,0,0
"Blue",0,175.26,2,1,0,0,0,0,0,0,0
"Blue",5,187.96,6,0,1,1,0,1,0,0,0
"Blue",1,185.42,1,0,0,0,0,0,0,0,0
"Red",0,200.66,1,2,0,0,0,0,0,0,0
"Red",0,193.04,2,0,0,0,0,0,0,0,0
"Red",1,175.26,2,0,0,0,0,0,1,0,0
"Red",0,193.04,1,0,0,0,0,1,0,0,0
"Red",0,182.88,3,0,0,0,0,1,0,0,0
"Blue",0,190.5,0,0,1,1,0,0,0,0,0
"Blue",0,170.18,2,0,0,0,0,0,0,0,0
"Blue",0,177.8,8,1,0,0,0,2,0,0,0
"Red",0,190.5,3,0,1,0,0,0,0,0,0
"Red",0,167.64,1,0,1,0,0,0,0,0,0
"Red",1,182.88,0,0,1,0,0,0,1,0,0
"Red",2,185.42,1,0,0,1,0,0,0,0,0
"Blue",0,180.34,1,0,0,1,0,0,0,0,0
"Blue",1,187.96,1,0,0,0,0,1,0,0,0
"Red",0,190.5,1,1,1,0,0,0,0,0,0
"Blue",0,180.34,2,0,0,0,0,2,0,0,0
"Red",0,185.42,0,1,1,1,0,0,0,0,0
"Blue",5,195.58,1,0,0,0,0,0,0,0,0
"Blue",0,185.42,2,1,0,0,0,0,0,0,0
"Red",0,180.34,1,1,1,0,0,2,0,0,0
"Red",1,152.4,0,0,0,0,0,0,0,0,0
"Red",1,162.56,0,0,0,0,0,0,1,0,0
"Red",0,177.8,5,1,0,1,0,0,0,0,0
"Blue",0,170.18,0,1,0,0,0,0,0,0,0
"Blue",2,177.8,0,0,0,0,0,0,0,0,0
"Blue",3,185.42,0,0,0,0,0,0,1,0,0
"Red",1,180.34,0,0,1,0,0,1,0,0,0
"Blue",0,187.96,7,2,0,0,0,0,2,0,0
"Red",3,198.12,3,0,0,0,0,0,0,1,0
"Red",2,182.88,3,0,1,0,0,3,0,0,0
"Blue",0,172.72,6,1,0,0,0,4,0,1,0
"Blue",0,165.1,1,1,0,0,0,0,0,0,0
"Red",0,172.72,4,2,0,1,0,0,2,0,0
"Red",1,190.5,3,0,1,0,0,0,0,0,0
"Blue",1,185.42,2,0,1,0,0,0,0,0,0
"Red",1,177.8,0,0,0,0,0,1,0,0,0
"Red",0,182.88,2,2,0,0,0,0,0,0,0
"Blue",0,185.42,0,1,0,0,0,1,0,0,0
"Red",2,190.5,4,0,0,0,0,0,0,0,0
"Blue",3,172.72,5,0,0,0,0,1,0,0,0
"Blue",0,182.88,2,1,0,0,0,0,0,0,0
"Red",0,190.5,1,1,0,0,0,0,0,0,0
"Blue",0,182.88,1,0,0,1,0,0,0,0,0
"Red",2,170.18,2,0,0,1,0,1,0,0,0
"Blue",0,185.42,0,0,0,0,0,0,0,0,0
"Blue",2,182.88,2,0,1,0,0,1,0,0,0
"Blue",0,180.34,1,0,0,1,0,0,0,0,0
"Blue",0,198.12,4,1,0,0,0,0,0,0,0
"Red",3,198.12,0,0,0,1,0,2,0,0,0
"Red",1,185.42,3,0,0,0,0,4,0,0,0
"Blue",5,200.66,3,0,0,0,0,1,1,0,0
"Red",2,165.1,2,0,1,0,0,1,1,0,0
"Red",1,167.64,1,0,0,1,0,0,0,0,0
"Red",0,193.04,4,4,1,0,0,0,1,0,0
"Blue",2,200.66,2,0,0,0,0,0,1,0,0
"Blue",2,187.96,5,0,0,0,0,2,0,0,0
"Red",0,177.8,0,0,0,0,0,0,0,0,0
"Red",0,167.64,2,2,1,0,0,0,0,0,0
"Red",2,172.72,5,0,0,0,0,2,0,0,0
"Red",1,193.04,2,0,0,0,0,1,1,0,0
"Red",0,182.88,6,2,0,0,0,0,0,0,0
"Blue",6,195.58,1,0,0,0,0,0,0,0,0
"Red",1,182.88,3,0,0,0,0,0,1,0,0
"Blue",0,172.72,1,0,0,0,0,0,0,0,0
"Blue",0,180.34,1,1,0,0,1,0,0,0,0
"Blue",0,180.34,1,1,1,0,0,0,0,0,0
"Red",0,180.34,1,1,0,0,0,0,0,0,0
"Red",2,162.56,0,0,1,0,0,0,1,0,0
"Blue",0,165.1,1,2,0,0,0,0,0,0,0
"Blue",0,175.26,1,1,0,0,0,0,0,0,0
"Red",0,203.2,2,1,0,0,0,0,0,0,0
"Blue",2,187.96,3,0,0,0,0,0,0,0,0
"Blue",1,190.5,5,0,0,0,0,3,0,0,0
"Blue",3,185.42,0,0,0,0,0,2,0,0,0
"Blue",0,177.8,4,1,0,0,0,0,0,1,0
"Red",0,193.04,3,0,1,0,0,2,0,0,0
"Blue",2,177.8,0,0,1,1,0,1,0,0,0
"Blue",0,185.42,2,1,0,0,0,0,0,0,0
"Blue",0,165.1,2,0,0,0,0,0,0,1,0
"Red",4,167.64,2,0,0,0,0,2,0,0,0
"Red",1,185.42,5,0,0,0,0,0,1,0,0
"Red",0,190.5,7,1,0,0,0,0,1,0,0
"Red",0,172.72,3,0,0,0,0,0,0,0,0
"Blue",1,172.72,3,0,0,1,0,0,0,0,0
"Red",0,180.34,9,2,0,1,0,0,0,0,0
"Red",1,172.72,1,0,0,0,0,0,0,0,0
"Red",1,180.34,0,0,0,1,0,0,0,0,0
"Red",1,177.8,1,0,1,0,0,1,0,0,0
"Red",1,187.96,0,0,0,0,0,0,1,0,0
"Blue",1,172.72,1,0,0,0,0,0,1,0,0
"Blue",3,187.96,5,0,1,1,0,1,0,0,0
"Red",0,182.88,0,4,0,0,0,2,2,0,0
"Blue",5,177.8,2,0,0,0,0,0,1,0,0
"Blue",1,165.1,0,0,0,0,0,1,0,0,0
"Blue",3,180.34,5,0,1,1,0,6,0,0,0
"Red",3,203.2,1,0,1,0,0,1,0,0,0
"Blue",1,200.66,0,0,0,0,0,0,1,0,0
"Blue",2,172.72,3,0,0,0,0,0,0,0,0
"Blue",3,185.42,0,0,0,0,0,0,1,0,0
"Red",0,172.72,3,1,0,1,0,2,0,0,0
"Blue",0,193.04,1,1,0,0,0,0,0,0,0
"Blue",0,193.04,8,3,0,1,0,4,0,0,0
"Red",1,200.66,1,0,0,0,0,0,0,0,0
"Red",0,185.42,1,1,0,1,0,0,0,0,0
"Blue",0,165.1,0,0,0,0,0,0,0,0,0
"Blue",0,187.96,5,1,0,1,0,2,0,0,0
"Red",0,190.5,0,0,0,1,0,0,0,0,0
"Red",0,182.88,1,0,0,0,0,2,0,0,0
"Blue",0,177.8,0,2,0,0,0,0,0,0,0
"Blue",0,187.96,1,1,1,0,0,0,0,0,0
"Blue",0,168.776701335992,0,0,0,0,0,0,0,0,0
"Blue",0,177.8,1,0,0,1,0,0,0,0,0
"Red",0,185.42,0,0,1,0,0,0,0,0,0
"Red",2,167.64,2,0,0,0,0,0,0,0,0
"Blue",3,187.96,1,0,0,0,0,1,0,0,0
"Red",2,190.5,2,0,1,0,0,3,0,0,0
"Red",0,177.8,9,1,0,0,0,4,1,0,0
"Red",0,182.88,3,1,1,0,0,3,0,0,0
"Red",0,167.64,3,1,0,0,0,0,0,0,0
"Blue",0,177.8,6,2,0,1,0,0,0,0,0
"Blue",0,193.04,0,0,0,1,0,0,0,0,0
"Red",0,190.5,1,1,1,0,0,0,0,0,0
"Red",4,182.88,6,0,1,1,0,6,0,0,0
"Red",0,187.96,4,4,0,0,0,3,1,0,0
"Red",1,190.5,1,0,0,0,0,1,0,0,0
"Red",0,175.26,1,1,0,0,0,0,0,0,0
"Red",0,180.34,0,0,0,0,0,1,0,0,0
"Red",1,185.42,3,0,0,0,0,1,0,0,0
"Red",1,177.8,3,0,1,1,0,2,0,0,0
"Red",1,187.96,0,0,0,0,0,0,0,0,0
"Red",0,177.8,2,1,0,0,0,0,0,0,0
"Blue",0,180.34,1,1,0,0,0,0,0,0,0
"Blue",0,172.72,0,0,0,0,0,0,0,0,0
"Blue",3,182.88,1,0,0,1,0,2,0,0,0
"Red",0,175.26,3,1,1,0,0,0,0,0,0
"Blue",1,182.88,6,0,0,0,0,0,0,0,0
"Blue",1,160.02,4,0,1,0,0,0,0,0,0
"Red",0,175.26,6,1,0,0,0,0,3,0,0
"Red",1,190.5,0,0,0,1,0,0,1,0,0
"Blue",2,182.88,4,0,0,1,1,0,0,0,0
"Red",0,190.5,1,1,0,0,0,0,0,0,0
"Blue",0,175.26,1,1,0,0,0,0,0,0,0
"Blue",0,180.34,2,0,0,0,1,0,0,0,0
"Blue",0,175.26,1,1,0,0,0,0,1,0,0
"Red",2,172.72,0,0,0,1,0,2,0,0,0
"Blue",0,170.18,1,0,0,1,0,1,0,0,0
"Red",0,180.34,5,3,0,0,0,0,1,0,0
"Red",3,193.04,1,0,0,1,0,2,5,0,0
"Blue",0,182.88,5,2,0,0,0,0,0,0,0
"Blue",2,187.96,1,0,0,0,0,0,1,0,0
"Red",0,200.66,1,2,0,0,0,0,0,0,0
"Blue",0,185.42,2,1,0,0,0,1,0,0,0
"Red",0,177.8,0,0,0,0,0,0,0,0,0
"Blue",0,203.2,4,4,0,1,0,0,0,0,0
"Blue",3,190.5,2,0,0,1,0,0,0,0,0
"Blue",1,198.12,1,0,1,1,0,1,0,0,0
"Blue",1,185.42,1,0,0,1,0,0,0,0,0
"Blue",1,180.34,3,0,1,0,0,0,0,0,0
"Red",2,185.42,1,0,0,0,0,0,1,0,0
"Blue",1,157.48,1,0,0,0,0,1,0,0,0
"Blue",0,190.5,2,1,0,0,0,0,0,0,0
"Blue",0,177.8,0,2,0,0,0,0,0,0,0
"Red",0,172.72,1,1,0,0,0,0,0,0,0
"Red",0,185.42,1,1,0,0,0,0,0,0,0
"Red",2,177.8,3,0,1,0,0,1,0,1,0
"Red",2,175.26,3,0,0,0,0,1,0,0,0
"Red",3,203.2,2,0,0,0,0,0,1,0,0
"Blue",2,170.18,1,0,0,0,0,0,1,0,0
"Red",1,160.02,1,0,0,0,0,1,0,0,0
"Red",0,177.8,5,1,0,0,0,0,0,0,0
"Red",1,182.88,1,0,0,0,0,1,1,0,0
"Red",0,162.56,1,2,1,1,0,0,0,0,0
"Red",0,180.34,1,0,0,0,1,0,0,0,0
"Red",5,187.96,2,0,0,1,0,0,2,0,0
"Blue",2,180.34,6,0,0,0,0,7,0,0,0
"Red",1,198.12,3,0,0,0,0,3,2,0,0
"Blue",1,185.42,1,0,0,0,0,0,0,0,0
"Red",1,165.1,2,0,0,0,0,0,1,0,0
"Blue",1,195.58,7,0,0,1,0,4,0,0,0
"Blue",1,162.56,3,0,0,0,0,0,0,0,0
"Red",1,193.04,5,0,0,0,0,1,0,0,0
"Blue",0,182.88,1,1,0,0,0,0,1,0,0
"Red",0,193.04,2,2,0,0,0,0,0,0,0
"Blue",2,200.66,2,0,0,0,0,2,0,0,0
"Blue",0,187.96,6,1,0,0,0,0,0,0,0
"Blue",3,200.66,3,0,0,0,0,3,0,0,0
"Blue",0,172.72,2,1,0,0,0,0,0,0,0
"Blue",2,190.5,1,0,0,0,0,1,0,0,0
"Red",0,187.96,3,0,0,0,0,2,0,0,0
"Blue",0,175.26,4,0,0,1,0,0,0,0,0
"Red",0,195.58,2,2,0,0,0,0,0,0,0
"Red",0,185.42,1,0,0,0,0,0,0,0,0
"Red",0,177.8,0,0,0,0,0,0,0,0,0
"Red",0,195.58,1,0,0,0,0,0,0,0,0
"Red",2,162.56,1,0,0,0,0,0,0,0,0
"Red",1,187.96,0,0,1,0,0,0,0,0,0
"Red",0,185.42,3,1,0,1,0,4,3,0,0
"Red",0,200.66,2,0,0,1,0,0,0,0,0
"Blue",0,180.34,5,3,0,0,0,0,0,0,0
"Blue",1,180.34,0,0,1,0,0,0,0,0,0
"Red",0,175.26,1,1,0,0,0,1,0,0,0
"Red",0,182.88,0,0,0,0,0,1,0,0,0
"Red",0,175.26,1,2,0,0,1,0,0,0,0
"Blue",0,165.1,1,1,0,0,0,0,0,0,0
"Red",4,213.36,1,0,0,0,0,5,0,0,0
"Red",6,185.42,3,0,0,0,0,4,1,0,0
"Red",1,187.96,3,0,0,0,0,0,0,0,0
"Red",0,167.64,0,2,0,0,0,0,0,0,0
